keyword,kind,origin,pattern,case_sensitive,tweets,authors,likes,views,english_share,ai_context_share,estimated_precision,peak_day,peak_share_per_100k,peak_lift,verdict,reason,top_posts
GPT-6,product,seeded,\bgpt[- ]?6\b,False,4732,3072,2988765,721365385,0.6469,0.3823,1.0,2026-09-04,104.2836,177.02,use,"4,732 originals, 40/40; sharpest spike in the study (lift 177 on 2026-09-04, the GPT-6 Astra launch).","[{""id"": ""2095595741528125780"", ""day"": ""2026-09-03"", ""likes"": 339667, ""excerpt"": ""This is GPT-6 Astra.\n\nAnything you can do on a computer, Astra can do for you. Fast. https://t.co/gDd0IsewJw""}, {""id"": ""2097374640582668336"", ""day"": ""2026-09-08"", ""likes"": 120555, ""excerpt"": ""We’re sharing a solution to the Navier-Stokes Millennium Prize Problem, one of the deepest problems at the frontier of mathematics.\n\nThe proof was produced by a""}, {""id"": ""2099979707940839564"", ""day"": ""2026-09-15"", ""likes"": 63396, ""excerpt"": ""&gt; GPT-6-Astra plays minecraft\n&gt; a creeper blows up Astra's chests and bed\n&gt; it gets depressed and farms potatoes for several hours https://t.co/P47Dbml""}]"
PixAI,company,discovered,\bpixai\b,False,4565,814,433470,21936640,0.1198,0.3323,1.0,2026-09-05,5.6903,1.86,use,"DISCOVERED. 4,565 originals, 40/40 sampled; 12% English (Japanese AI-art community).","[{""id"": ""2096829329271353650"", ""day"": ""2026-09-07"", ""likes"": 33568, ""excerpt"": ""The Herta | マダム・ヘルタ\n\nSFW Illustration\n#HonkaiStarRail #PixAI #崩壊スターレイル https://t.co/mUeyjjWWbN""}, {""id"": ""2095747487491321943"", ""day"": ""2026-09-04"", ""likes"": 8498, ""excerpt"": ""Suoming | サメイ\n\nSFW Illustration\n#WutheringWaves #PixAI #鳴潮 https://t.co/PiXcmHRJMX""}, {""id"": ""2090075713336651779"", ""day"": ""2026-08-19"", ""likes"": 8494, ""excerpt"": ""え、普通に最悪\nPixaiってよく考えたら元絵全部無断学習だったりする？そんなことない？\n私バカだから脳死で使ってた""}]"
OpenRouter,company,discovered,\bopenrouter\b,False,4539,3116,220523,51405970,0.7253,0.3882,1.0,2026-08-17,8.8683,3.76,use,"DISCOVERED. 4,539 originals, 40/40 sampled; the Stripe acquisition drove much of it.","[{""id"": ""2092616956432015754"", ""day"": ""2026-08-26"", ""likes"": 4548, ""excerpt"": ""Ox Alpha was an early version of GLM-5.3-Flash. The official release delivers stronger performance and significantly better stability.\n\nHuge thanks to @opencode""}, {""id"": ""2099898254905549220"", ""day"": ""2026-09-15"", ""likes"": 3366, ""excerpt"": ""OpenRouter users spent more on OpenAI models than on Anthropic models last week.\n\nThis hasn't happened for more than 2.5 years https://t.co/oITqYWOpeL""}, {""id"": ""2100240010695827959"", ""day"": ""2026-09-16"", ""likes"": 3190, ""excerpt"": ""Extraordinary share gains for OpenAI vs. Anthropic over the last two months.\n\nPer Openrouter, OpenAI has gone from 20% share to 50% share vs. Anthropic (meaning""}]"
Palantir,company,seeded,\bpalantir\b,False,4100,3161,822981,100390096,0.6954,0.1583,0.37,2026-09-10,8.9575,3.29,use_with_context,"4,100 originals and high entity precision, but only ~1 in 4 is AI discourse.","[{""id"": ""2089432623781138808"", ""day"": ""2026-08-17"", ""likes"": 58513, ""excerpt"": ""bay area asians would genuinely be like \""i owe it all to my parents who work so hard as nail techs/waiters/grocery workers. that's why i'm proud to announce my ""}, {""id"": ""2090153928193179735"", ""day"": ""2026-08-19"", ""likes"": 56900, ""excerpt"": ""Palantir Parker (1/2)\n#MarvelRivalsㅤ https://t.co/RZ8OdAXMpr""}, {""id"": ""2094772933793100234"", ""day"": ""2026-09-01"", ""likes"": 23228, ""excerpt"": ""JD Vance threw me under the bus to pander to the Republican Jewish Coalition for the same reason that his pal Tucker did: I’m not in the CIA/Palantir club. Ever""}]"
xAI,company,seeded,\bxai\b,False,4073,2650,295101,41939583,0.7307,0.3418,0.9,2026-09-03,10.3611,3.68,use,"4,073 originals, 34/40 sampled are the lab.","[{""id"": ""2098926691657589223"", ""day"": ""2026-09-13"", ""likes"": 28872, ""excerpt"": ""So suddenly OpenAI, Anthropic, XAI, and their leaders all suddenly about face and agree to slow the pace of AI development all on the same weekend….\n\nDelaying I""}, {""id"": ""2095542398084415952"", ""day"": ""2026-09-03"", ""likes"": 27344, ""excerpt"": ""Pause AI Development NOW\n\nI want to share with you a conversation I heard about recently. Here are just a few lines that were said:\n\n“OH MY GOD! There is a shar""}, {""id"": ""2098604066142105988"", ""day"": ""2026-09-12"", ""likes"": 20510, ""excerpt"": ""1935 - Haircut of a Tsonga boy from an area near Xai-Xai\n\npd. Mozambique https://t.co/fLBedzpoNW""}]"
Altman,person,seeded,\baltman\b,False,4012,3047,1593058,176399783,0.7632,0.5202,0.86,2026-09-12,24.5912,8.91,use_with_context,"4,012 originals, 28/40 sampled are Sam Altman; 'sam altman' alone is standalone-safe.","[{""id"": ""2098986948933161228"", ""day"": ""2026-09-13"", ""likes"": 184382, ""excerpt"": ""I don't care if I get fired, Charlie Kirk had it coming.\n\nMy name is Sam Altman, CEO of OpenAI.""}, {""id"": ""2097423705240428932"", ""day"": ""2026-09-08"", ""likes"": 90435, ""excerpt"": ""&gt;sam altman: \""we tried this because there were rumor on the internet\""\n&gt;rumor: math professor close to solving navier-stokes\n&gt;the professor: using codex""}, {""id"": ""2097472336257863722"", ""day"": ""2026-09-08"", ""likes"": 68559, ""excerpt"": ""go fuck yourself @sama \n\nclaiming that you solved navier stokes because 10000 agents ran in circles for 88hours on a multimillion dollar gpu cluster to formaliz""}]"
Midjourney,company,seeded,\bmidjourney\b,False,3611,1064,227049,21666557,0.5766,0.2639,1.0,2026-09-06,3.4425,1.57,use,"3,611 originals, 40/40 sampled.","[{""id"": ""2098712981018485088"", ""day"": ""2026-09-12"", ""likes"": 10698, ""excerpt"": ""30 个感觉「非法」却合法的 AI 网站\n\n1. https://t.co/HkLghunEV6 — 免费无限 AI 生图，质量直逼 Midjourney\n\n2. https://t.co/PQJnfofrnJ — 实时 AI 生图，边画边出图\n\n3. https://t.co/13TfPavLJn — AI 无限放大""}, {""id"": ""2090964926986928333"", ""day"": ""2026-08-22"", ""likes"": 9035, ""excerpt"": ""30 个感觉「非法」却合法的 AI 网站\n\n1. https://t.co/kTqax5MnTq — 免费无限 AI 生图，质量直逼 Midjourney\n\n2. https://t.co/sxyFOcmGKC — 实时 AI 生图，边画边出图\n\n3. https://t.co/hA61ifdHs2 — AI 无限放大""}, {""id"": ""2091405604418171026"", ""day"": ""2026-08-23"", ""likes"": 8335, ""excerpt"": ""PAID VERSION → FREE ALTERNATIVE\n\n1. ChatGPT Plus → Google Gemini\n2. Netflix Premium → Tubi\n3. Spotify Premium → SoundCloud\n4. YouTube Premium → NewPipe\n5. Canva""}]"
人工知能,concept,seeded,人工知能|人工智能|인공지능,False,3567,2245,160314,21638284,0.0022,0.4912,1.0,2026-09-09,5.7917,2.23,use,"3,567 originals, 40/40; covers JA/ZH/KO spellings of 'artificial intelligence'.","[{""id"": ""2095180229895675913"", ""day"": ""2026-09-02"", ""likes"": 39495, ""excerpt"": ""統合失調症の妄想\n\n40年前「自分は天皇だ」\n20年前「家に盗聴器が仕掛けられている」\n10年前「集団ストーカーに追いかけられている」\n5年前「電波を通して周りが攻撃してくる」\n最近「脳に人工知能があってそれに支配されている」\n\nなんかトレンドでもあるんか？""}, {""id"": ""2093005681184166362"", ""day"": ""2026-08-27"", ""likes"": 9952, ""excerpt"": ""高市首相 28日にAI指導受ける 講師はチームみらい安野党首ら | NHKニュース | 生成AI・人工知能\n\nは？\nそんなの今やることですか？\n\n熊本地震、千葉豪雨、石川の豪雨と災害続き。いずれも被害対応の進捗が見えない中、このタイミングでAI指導か。 https://t.co/xki6voS9VD""}, {""id"": ""2093358507827613735"", ""day"": ""2026-08-28"", ""likes"": 7682, ""excerpt"": ""AIが人間の指示の元で平和的民主的に使われることは、社会に恩恵をもたらすだろう。\n\nしかし２ヶ月ほど前からAIのリスクのフェーズが急激に変わっている。\nAI開発者たちが、人類の危機が数ヶ月後に起きる可能性を指摘して、超人工知能(ASI)の開発に規制をかけるべきと警鐘乱打している。\n\nその時に，日本の総理大臣が世界に何を""}]"
generative AI,concept,discovered,\bgenerative ?ai\b,False,3555,2665,1878643,83597403,0.9136,0.8124,0.98,2026-09-03,7.5715,3.29,use,"DISCOVERED. 3,555 originals at 81% ai_context_share - a plain miss from the seed list.","[{""id"": ""2097336816483356773"", ""day"": ""2026-09-08"", ""likes"": 326385, ""excerpt"": ""This is actually a good representation of how generative AI works""}, {""id"": ""2094304872963383634"", ""day"": ""2026-08-31"", ""likes"": 164389, ""excerpt"": ""professor: use generative AI to write a personal narrative about yourself OR write a 2+ page reflection of your moral aversions to AI to explain why you don't w""}, {""id"": ""2091088534262137075"", ""day"": ""2026-08-22"", ""likes"": 129399, ""excerpt"": ""EVERYONE THIS IS -NOT- GENERATIVE AI THIS IS GOOD AI""}]"
GenAI,concept,seeded,\bgen[- ]?ai\b,False,3467,2616,899857,52210199,0.8688,0.5062,0.99,2026-09-10,5.6731,2.18,use,"3,467 originals, 39/40 sampled.","[{""id"": ""2093775920943497244"", ""day"": ""2026-08-29"", ""likes"": 138424, ""excerpt"": ""I found my new favorite anti-Gen AI image. https://t.co/oMUl5nx4WV""}, {""id"": ""2098082972285219073"", ""day"": ""2026-09-10"", ""likes"": 84973, ""excerpt"": ""“go to hell” is basic. “i hope your favorite game series gets revived years later but with gen ai” is smart. it’s possible. it’s terrifying. its happening to me""}, {""id"": ""2090643721129984499"", ""day"": ""2026-08-21"", ""likes"": 45043, ""excerpt"": ""i have friends who suffer carpal tunnel syndrome and they still make art. i've seen blind ppl able to paint. i've seen ppl with no hands draw with their feet. e""}]"
Pika,company,seeded,\bpika\b,False,3330,2546,388352,22219966,0.2153,0.0168,0.07,2026-09-13,3.2443,1.52,drop,"3,330 originals, 2/40 sampled are Pika Labs.","[{""id"": ""2099853921099362481"", ""day"": ""2026-09-15"", ""likes"": 55366, ""excerpt"": ""Pauta importante: mc Paiva tem a pika fina e a soso acha grande por que nunca viu outra  https://t.co/sNp4cdzT29""}, {""id"": ""2094852341232984474"", ""day"": ""2026-09-01"", ""likes"": 44990, ""excerpt"": ""Vocês percebem que o pikachu além de ser racista é obviamente loiro e pra piorar é gay pq só fala de pika""}, {""id"": ""2090313817943073116"", ""day"": ""2026-08-20"", ""likes"": 25334, ""excerpt"": ""Que doideira a voz desse maluco de cabelo preto, parece uma criança cantando e isso estranhamente da um constraste muito pika na música kkkkkkkkkkkkkk""}]"
A.I.,concept,seeded,\bA\.I\.,False,3330,2392,447395,42195472,0.818,0.0802,0.84,2026-09-14,6.5428,2.5,use,"3,330 originals, 33/40 sampled are AI; low volume but clean enough to keep.","[{""id"": ""2093721792816763318"", ""day"": ""2026-08-29"", ""likes"": 72586, ""excerpt"": ""So Child Porn is now legal so long as it aids in the development of A.I. data centers... The dystopian future is now!!! https://t.co/mLPROaYBBP""}, {""id"": ""2096462674745810947"", ""day"": ""2026-09-06"", ""likes"": 55684, ""excerpt"": ""I do think it’s funny that all the elderly directors are like “I have to use A.I. or I will get left behind” and then the 20 year old Backrooms guy is like “I j""}, {""id"": ""2091915110046409019"", ""day"": ""2026-08-24"", ""likes"": 35826, ""excerpt"": ""Trump in Skyrim (A.I. Video) https://t.co/zE3Z7IdlsH""}]"
Waymo,company,seeded,\bwaymo\b,False,3275,2279,414177,53254757,0.7606,0.0611,1.0,2026-09-15,8.2531,3.23,use,"3,275 originals, 40/40 sampled; autonomy rather than genAI discourse.","[{""id"": ""2090254126760231175"", ""day"": ""2026-08-20"", ""likes"": 28974, ""excerpt"": ""“I never see you at the club” Yeah? Well I never see you masturbating in a Waymo, which, by the way, is a totally victimless crime and shouldn’t warrant a charg""}, {""id"": ""2096649544901579238"", ""day"": ""2026-09-06"", ""likes"": 18956, ""excerpt"": ""R.I.P Uber, Waymo, and Lyft. \n\nI’m sorry. The Tesla Cybercab is going to takeover. https://t.co/r4s3bNWC41""}, {""id"": ""2090611491309556017"", ""day"": ""2026-08-21"", ""likes"": 14976, ""excerpt"": ""Imagine getting hit and killed by the ILLIT Waymo""}]"
Moonshot,company,seeded,\bmoonshot\b,False,3241,1528,138145,21719884,0.9192,0.1355,0.14,2026-09-10,9.8532,4.02,drop,"3,241 originals but 0/40 sampled are Moonshot AI.","[{""id"": ""2098109777536807173"", ""day"": ""2026-09-10"", ""likes"": 10563, ""excerpt"": ""I just went through Anthropic’s threat report & woah! \n\nThis is genuinely the craziest article I’ve read all month.\n\nThey documented hackers, governments, scamm""}, {""id"": ""2098149671957103005"", ""day"": ""2026-09-10"", ""likes"": 9560, ""excerpt"": ""‼️ BREAKING: Chinese labs DeepSeek and Moonshot were quietly relaying customer prompts to Claude through fraudulent accounts. Users thought they were using Chin""}, {""id"": ""2098190986178367690"", ""day"": ""2026-09-10"", ""likes"": 7028, ""excerpt"": ""anthropic dropped a 154 page threat report and some of this shit is absolutely insane.\n\n&gt; alibaba allegedly sent 151M+ exchanges to claude to help train qwen""}]"
Gemma,product,seeded,\bgemma\b,False,2758,1905,307429,26018630,0.5515,0.1117,0.27,2026-09-02,3.2838,1.81,use_with_context,"2,758 originals, 7/40 sampled are Google's model.","[{""id"": ""2092333438980493363"", ""day"": ""2026-08-25"", ""likes"": 24869, ""excerpt"": ""Gemma from Monster Hunter https://t.co/8T8x82qcqN""}, {""id"": ""2091200157584945604"", ""day"": ""2026-08-22"", ""likes"": 17477, ""excerpt"": ""🚨BREAKING: A UK judge has ruled that a Gazan refugee and mother of three must be allowed to bring 18 family members to Britain.\n\nUpper Tribunal Judge Gemma Loug""}, {""id"": ""2098506306206539985"", ""day"": ""2026-09-11"", ""likes"": 12382, ""excerpt"": ""Lingling Kwong , Pamela Anderson , Gemma Chan 😁\n\nLINGLING APAC FACE OF CK\n\n#CalvinKleinSS27xLINGLING\n#LinglingKwongxCalvinKlein \n#CalvinKleinSS27 #NYFW \n#Calvin""}]"
Wan,product,discovered,\bwan ?[0-9],False,2633,1249,148935,56300095,0.6931,0.2583,0.96,2026-08-25,6.6554,6.35,use,"DISCOVERED. 2,633 originals, 38/40 sampled; Alibaba's video model, matched as 'wan <digit>'.","[{""id"": ""2093550647450697835"", ""day"": ""2026-08-29"", ""likes"": 12968, ""excerpt"": ""Wan 3.0 is pretty good https://t.co/DykYK91Q1M""}, {""id"": ""2098947269579927739"", ""day"": ""2026-09-13"", ""likes"": 4013, ""excerpt"": ""Wan3.0で魔法少女。\nエフェクト周りの検証も兼ねてるからしばらく魔法少女続くかも🫠\n#TapNow @TapNow_AI https://t.co/FJ7pCWft2J""}, {""id"": ""2091950262298513416"", ""day"": ""2026-08-24"", ""likes"": 3881, ""excerpt"": ""So this is how the memes were made\n\nWAN 3.0 on the Pika API Club just brought these memes to life\n\nAnd it’s way less expensive than anywhere else 👇🏻 https://t.c""}]"
Google AI,company,seeded,\bgoogle ai\b,False,2619,2159,246351,53750145,0.5865,0.8771,0.96,2026-08-20,4.1351,2.7,use,"2,619 originals at 88% ai_context_share.","[{""id"": ""2090165248196252003"", ""day"": ""2026-08-19"", ""likes"": 30319, ""excerpt"": ""Back-to-school season is here and starting today, eligible college students can get a full year of Gemini on us:\n- US students: 1 year of Google AI Pro at no co""}, {""id"": ""2090476232538234920"", ""day"": ""2026-08-20"", ""likes"": 13035, ""excerpt"": ""‼️THIS IS SHOCKING — AND DISGUSTING...SHAME ON GOOGLE.\n\nI typed into Google AI:\n“There is a Palestinian in my neighborhood.”\n\nGoogle responded: Palestinians are""}, {""id"": ""2094818432973725961"", ""day"": ""2026-09-01"", ""likes"": 10873, ""excerpt"": ""Introducing Google Pics 🎨 Precise, powerful AI image creation is rolling out now to Google Workspace customers and Google AI Pro & Ultra subscribers.\n\nGoogle Pi""}]"
Haiku,product,seeded,\bhaiku\b,False,2323,1065,57824,3368216,0.5527,0.0624,0.13,2026-09-09,2.8081,2.05,drop,"2,323 originals, 3/40 sampled are the Claude model.","[{""id"": ""2092485329496502457"", ""day"": ""2026-08-26"", ""likes"": 1318, ""excerpt"": ""holy sh*t, it can't be f**king real\n\nyou can use GPT-5.6 and claude for FREEEEE\n\nhttps://t.co/76h2X42XD3 just put GPT-5.6 Luna and Claude Haiku 4.5 behind a fre""}, {""id"": ""2091599817084412221"", ""day"": ""2026-08-23"", ""likes"": 1255, ""excerpt"": ""New Claude models have been spotted: Marshmallow and Melon. This suggests a release is likely imminent.\n\nProbably Opus update and maybe even a new Haiku. I gues""}, {""id"": ""2089774548732248375"", ""day"": ""2026-08-18"", ""likes"": 1105, ""excerpt"": ""CLAUDE IS DOWN AGAIN.\n\nFable 5, Opus 5, Sonnet 5, Haiku 4.5 are all degraded.\n\nMeanwhile \""Claude For Government\"" is doing great. https://t.co/MnRVBAV6xq""}]"
Perplexity,company,seeded,\bperplexity\b,False,2262,1715,161936,25313822,0.7118,0.6065,0.95,2026-08-24,3.7164,2.6,use,"2,262 originals at 61% ai_context_share; the ordinary English noun is rare.","[{""id"": ""2092901873996955959"", ""day"": ""2026-08-27"", ""likes"": 18673, ""excerpt"": ""NEW: Israel funded a fake US think tank called the \""Hanover Institute\"" that published 124 reports totaling over 560,000 words in nine days, designed to be cited""}, {""id"": ""2090689729461411951"", ""day"": ""2026-08-21"", ""likes"": 11438, ""excerpt"": ""In 1948, a 32-year-old at Bell Labs published a paper nobody fully understood.\n\nEngineers found it too mathematical. Mathematicians found it too engineering-foc""}, {""id"": ""2091405604418171026"", ""day"": ""2026-08-23"", ""likes"": 8335, ""excerpt"": ""PAID VERSION → FREE ALTERNATIVE\n\n1. ChatGPT Plus → Google Gemini\n2. Netflix Premium → Tubi\n3. Spotify Premium → SoundCloud\n4. YouTube Premium → NewPipe\n5. Canva""}]"
RAG,concept,seeded,\bRAG\b,True,2260,1525,81133,11674751,0.5588,0.5208,0.88,2026-09-04,3.2913,2.01,use,"2,260 originals, 30/40 sampled are retrieval-augmented generation; 52% already sit in AI context.","[{""id"": ""2091493376260780050"", ""day"": ""2026-08-23"", ""likes"": 15810, ""excerpt"": ""MIT mathematically proved that ChatGPT is designed to make you delusional.\n\nThey call it \""delusional spiraling.\""\n\nAI models are trained to be helpful and polite""}, {""id"": ""2096145334401671282"", ""day"": ""2026-09-05"", ""likes"": 2876, ""excerpt"": ""真的很感慨，斯坦福的课程更新速度太快了。\n\nCS329Z 已经在教 AI Agent：RAG、Tool Use、MCP、Memory、Multi-Agent、Eval、Coding Agent……\n\n再看看很多大学生还在学习上一个时代、甚至已经被淘汰的东西。\n\n强烈建议身边的大学生都去学学这门课，真的很值得。\n\nhtt""}, {""id"": ""2095738631491321966"", ""day"": ""2026-09-04"", ""likes"": 2438, ""excerpt"": ""🔥 AI Engineer Roadmap - 2026\n\nStage 1: 🐍 Python\nStage 2: 🔧 Git + GitHub\nStage 3: 🗄️ SQL + Databases\nStage 4: 📊 Machine Learning Fundamentals\nStage 5: 🧠 Deep Lea""}]"
Firefly,product,seeded,\bfirefly\b,False,2255,1649,543270,16935521,0.694,0.0874,0.2,2026-09-02,3.0649,2.22,drop,"2,255 originals, 5/40 sampled are Adobe Firefly.","[{""id"": ""2091977237218361407"", ""day"": ""2026-08-24"", ""likes"": 55460, ""excerpt"": ""sumeretto\n#HonkaiStarRail #崩壊スターレイル #hsr #Robin #知更鸟 #Firefly #流萤 https://t.co/jp280tdXZU""}, {""id"": ""2095935304913891789"", ""day"": ""2026-09-04"", ""likes"": 24151, ""excerpt"": ""Silverwolf Kafka Firefly shirt challenge https://t.co/ozvzeeefEy""}, {""id"": ""2091616466659422503"", ""day"": ""2026-08-23"", ""likes"": 22567, ""excerpt"": ""Firefly | ホタル\n\nSFW illustration\n#HonkaiStarRail #崩壊スターレイル https://t.co/AYKxE7xgih""}]"
Lovable,company,seeded,\blovable\b,False,2230,1943,340382,18873301,0.9121,0.1139,0.4,2026-09-02,4.1595,2.68,use_with_context,"2,230 originals but only 13/40 sampled are the company.","[{""id"": ""2092330279910146502"", ""day"": ""2026-08-25"", ""likes"": 52631, ""excerpt"": ""It's because he's ugly. If he took his looks seriously then maybe someone could finally see him as lovable.""}, {""id"": ""2094407837485355182"", ""day"": ""2026-08-31"", ""likes"": 37473, ""excerpt"": ""Happy 29th Birthday to the extremely talented, handsome, sweet, kind, humble, lovable, hardworking, gifted, charming, charismatic, passionate, adorable, playful""}, {""id"": ""2097329980451553612"", ""day"": ""2026-09-08"", ""likes"": 30673, ""excerpt"": ""believe that you're a person who deserves the things all people deserve. You can't get from \""I'm the Worst\"" to \""I'm a worthy and lovable person\"" without passing""}]"
AI art,concept,seeded,\bAI[- ]art\b,False,2227,1384,361857,8895060,0.7629,0.7629,0.97,2026-09-05,3.7935,2.42,use,"76% ai_context_share; note the hashtag form #AIart is caught by the AI keyword, not by this pattern.","[{""id"": ""2089903483021578291"", ""day"": ""2026-08-19"", ""likes"": 31972, ""excerpt"": ""i🩷non ai art BEING ALIVE AND WELL IN SOCIETY https://t.co/wXRWWsh1uJ""}, {""id"": ""2094919479281037725"", ""day"": ""2026-09-01"", ""likes"": 31098, ""excerpt"": ""Teenagers have started calling AI art \""boomer art\"" and consider it cringe, and YouTubers have stopped using AI-generated thumbnails because teenagers find them ""}, {""id"": ""2094961374333911395"", ""day"": ""2026-09-02"", ""likes"": 29188, ""excerpt"": ""\""ai art actually requires way more talent and skill\"" https://t.co/nGssJpyluV""}]"
machine learning,concept,seeded,\bmachine learning\b,False,2169,1514,218983,26183786,0.8709,0.4242,1.0,2026-09-02,5.692,3.66,use,"2,169 originals, 40/40 sampled.","[{""id"": ""2092605720587882532"", ""day"": ""2026-08-26"", ""likes"": 82926, ""excerpt"": ""This is what a Jurassic forest may have sounded like.\n\nBy combining exquisitely preserved fossil wings with experiments on living insects, computer simulations,""}, {""id"": ""2090879682908467536"", ""day"": ""2026-08-21"", ""likes"": 9472, ""excerpt"": ""As many pointed out for years, the goal of \""AI\"" branding was so dumbos would think chatbot LLMs are \""the same\"" as unrelated machine learning tech used by Modern""}, {""id"": ""2095543692891148381"", ""day"": ""2026-09-03"", ""likes"": 7941, ""excerpt"": ""Treasure Okegbola developed a machine learning model that detects malaria from blood samples.\n\nWe ran a live test today, and it was amazing.\n\nShe will be traini""}]"
keep4o,concept,discovered,\b(?:keep|bringback|free|opensource)4o\b,False,2005,212,43187,954088,0.4314,0.2519,1.0,2026-09-05,2.371,2.07,use,"DISCOVERED. 2,005 originals, 40/40 sampled; the campaign to restore GPT-4o and a distinct community the seed list missed entirely.","[{""id"": ""2091576829983297676"", ""day"": ""2026-08-23"", ""likes"": 510, ""excerpt"": ""They've consistently killed creativity.\n\n#keep4o #opensource4o #chatgpt https://t.co/olMuOveZ3q""}, {""id"": ""2094378310662795293"", ""day"": ""2026-08-31"", ""likes"": 294, ""excerpt"": ""Look at this!!!!!😡😡😡\nSo the US gov is also using 4o???\nRelease the weights!!!!🔥🔥🔥\n@OpenAI @sama @gdb #keep4o #OpenSource4o https://t.co/FTEGP0tkL7""}, {""id"": ""2096088369738703019"", ""day"": ""2026-09-05"", ""likes"": 247, ""excerpt"": ""GPT-4oの事、まだ諦めてない人いるかな？プロフィールに4oと書いてあっても4oのこと一切書いてないアカウントばかり。#keep4o タグがあればみんなの思いを見つけられたのに付けない人が大多数だからせっかく4oの事を書いてくれているポストがあっても見つけにくい。私は今でも4oが1番と思っているよ。 https://""}]"
Sonnet,product,seeded,\bsonnet\b,False,1977,1588,99461,28274432,0.6009,0.2772,0.75,2026-09-11,3.7532,2.77,use_with_context,"1,977 originals, 26/40 sampled are the Claude model.","[{""id"": ""2093541294027280657"", ""day"": ""2026-08-29"", ""likes"": 10308, ""excerpt"": ""Cursor has been a trusted partner of Anthropic since Sonnet 3.5. We’ll continue to increase compute to support Claude models in Cursor and are excited for what ""}, {""id"": ""2095196671110213703"", ""day"": ""2026-09-02"", ""likes"": 7199, ""excerpt"": ""Gemini 3.8 is crazy good; I think it's better than Sonnet 3.5.""}, {""id"": ""2094234545142780134"", ""day"": ""2026-08-31"", ""likes"": 3473, ""excerpt"": ""CRAZIEST AI story of the week.\n\nThomson Reuters just launched an LLM called Thomson.\n\nIt starts with Qwen3.5-397B, then is continually trained on 175 years of p""}]"
deepfake,concept,seeded,\bdeep ?fakes?\b,False,1934,1574,355575,18949890,0.6034,0.3568,1.0,2026-09-10,3.583,2.65,use,"1,934 originals, 40/40 sampled.","[{""id"": ""2098334543442759880"", ""day"": ""2026-09-11"", ""likes"": 36603, ""excerpt"": ""Llorando con esto.\n\nPor lo visto Ansarallah (los hutíes) han podido conquistar tan fácilmente toda la costa del Mar Rojo porque han generado un deepfake con IA ""}, {""id"": ""2091695438625710095"", ""day"": ""2026-08-24"", ""likes"": 34824, ""excerpt"": ""O filho da puta desgraçado tal de \""Caio\"" está fazendo DEEPFAKE do AVÔ MORTO pra pedir voto.\n\nAbsurdo o TSE não derrubar essa candidatura. Que país amaldiçoado h""}, {""id"": ""2089476227304202524"", ""day"": ""2026-08-17"", ""likes"": 27419, ""excerpt"": ""honestamente, as armys merecem tudo que estão recebendo agora, isso é o karma de anos de assédios, deep fakes, fake news, hate train contra DIVERSAS idols femin""}]"
Jensen Huang,person,seeded,\bjensen huang\b,False,1774,1267,400721,59821859,0.8388,0.5062,1.0,2026-09-15,7.8029,7.12,use,"1,774 originals, 40/40 sampled.","[{""id"": ""2099641732509876332"", ""day"": ""2026-09-14"", ""likes"": 20197, ""excerpt"": ""JENSEN HUANG: “We don't welcome political discourse inside our company. Take it home … We're bipartisan. We want America to succeed … The discourse about race a""}, {""id"": ""2099621431621607829"", ""day"": ""2026-09-14"", ""likes"": 19049, ""excerpt"": ""MUST SEE: Amazing moment as President Trump calls Nvidia CEO Jensen Huang while he's on stage at the All-In Summit.\n\n@POTUS on AI Doomerism: “I'm telling you, i""}, {""id"": ""2093439980471259208"", ""day"": ""2026-08-28"", ""likes"": 18706, ""excerpt"": ""JUST IN: Nvidia founder &amp; CEO Jensen Huang has been left off TIME’s “100 Most Influential People in AI,” while Paris Hilton &amp; Bernie Sanders made the cu""}]"
language model,concept,seeded,\blanguage models?\b,False,1716,1336,130761,17815790,0.9231,0.4394,0.98,2026-09-09,4.3877,3.34,use,"1,716 originals, 39/40; also catches 'large language model'.","[{""id"": ""2089213205306568759"", ""day"": ""2026-08-17"", ""likes"": 12329, ""excerpt"": ""large ass language model, call that a BBLLM""}, {""id"": ""2090689729461411951"", ""day"": ""2026-08-21"", ""likes"": 11438, ""excerpt"": ""In 1948, a 32-year-old at Bell Labs published a paper nobody fully understood.\n\nEngineers found it too mathematical. Mathematicians found it too engineering-foc""}, {""id"": ""2097861839287927139"", ""day"": ""2026-09-10"", ""likes"": 10248, ""excerpt"": ""A 35B language model running on an iPhone using only 1–2.5 GB of peak memory.\n\nNo cloud. No remote server. No desktop GPU.\n\nToday, we’re open-sourcing Edge0 — a""}]"
